Model,Dependent,Term,Coef,Robust_SE_HC3,t,p_value,N,R2,Adj_R2
10D_China_Excluded,Financial vulnerability,CGRI_Equal_Weighted,0.6385277457911838,0.06690364912815557,9.543989813889947,1.374405033308236e-21,4840,0.1337731076055481,0.1310796160247195
10D_China_Excluded,Financial vulnerability,CCI_Baseline_Recomputed,-41.05797219436555,3.83697026838819,-10.70062297136666,1.010962336308996e-26,4840,0.1337731076055481,0.1310796160247195
10A_OVX_CCI,Abs-return vulnerability,OVX_x_CCI,-0.006502294680748625,0.02358114954426971,-0.2757412088219721,0.7827468420862531,5504,0.02976239695856098,0.02693320037597235
10A_OVX_CCI,Abs-return vulnerability,OVX_Change,0.01116101608487336,0.01318621263137407,0.8464156006644287,0.3973209385342189,5504,0.02976239695856098,0.02693320037597235
10A_OVX_CCI,Abs-return vulnerability,CGRI_Equal_Weighted,0.08319856722272638,0.02624578494967874,3.169978241544069,0.001524503530415296,5504,0.02976239695856098,0.02693320037597235
10A_OVX_CCI,Abs-return vulnerability,CCI_Baseline_Recomputed,-14.94288799238099,2.589363619895867,-5.770872764861788,7.886200526948854e-09,5504,0.02976239695856098,0.02693320037597235
10B_BDI_CCI,Abs-return vulnerability,BDI_x_CCI,-0.02418023460431064,0.01457537658100775,-1.658978378357536,0.09712014928995943,5504,0.03017983278993064,0.02735185344322721
10B_BDI_CCI,Abs-return vulnerability,BDI_Return,0.008414101995314328,0.008131016754899635,1.034815478672346,0.3007550927962168,5504,0.03017983278993064,0.02735185344322721
10B_BDI_CCI,Abs-return vulnerability,CGRI_Equal_Weighted,0.08341820669811897,0.02622236551936078,3.18118541351766,0.001466737238333522,5504,0.03017983278993064,0.02735185344322721
10B_BDI_CCI,Abs-return vulnerability,CCI_Baseline_Recomputed,-14.81890305925729,2.604343167794045,-5.690073121895582,1.269849822020864e-08,5504,0.03017983278993064,0.02735185344322721
10B_BDTI_CCI,Abs-return vulnerability,BDTI_x_CCI,-0.0748220702723292,0.03098092661827614,-2.415101110248603,0.01573084221210787,4191,0.03566865950635556,0.03220399600757595
